Date,Time,Condition,Temperature,Wind,Wind Direction,Humidity,Barometer,Visibility,AM/PM,time_clean,time_round
20220214,12:27 PM,Overcast,53,9 mph,Wind blowing from 260° West to East,77%,30.14 Hg,10 mi,PM,1227,1200
20220331,12:06 PM,Broken clouds,57,6 mph,Wind blowing from 210° South-southwest to North-northeast,72%,30.01 Hg,10 mi,PM,1206,1200
20220707,12:21 PM,Scattered clouds,65,10 mph,Wind blowing from 300° West-northwest to East-southeast,70%,30.07 Hg,10 mi,PM,1221,1200
20220729,12:09 PM,Broken clouds,65,12 mph,Wind blowing from 250° West-southwest to East-northeast,73%,29.92 Hg,10 mi,PM,1209,1200
20220918,12:18 PM,Light rain. Fog,64,24 mph,Wind blowing from 160° South-southeast to North-northwest,78%,29.66 Hg,2 mi,PM,1218,1200
20220926,12:07 PM,Scattered clouds,64,9 mph,Wind blowing from 280° West to East,73%,30.01 Hg,10 mi,PM,1207,1200
20220927,12:02 PM,Scattered clouds,62,5 mph,Wind blowing from 220° Southwest to Northeast,75%,30.03 Hg,10 mi,PM,1202,1200
20221010,12:24 PM,Scattered clouds,60,5 mph,Wind blowing from 300° West-northwest to East-southeast,83%,30.02 Hg,10 mi,PM,1224,1200
20221101,12:27 PM,Rain. Fog,53,14 mph,Wind blowing from 270° West to East,86%,29.87 Hg,2 mi,PM,1227,1200
20221231,12:07 PM,Heavy rain. Fog,54,3 mph,Wind blowing from 350° North to South,100%,29.67 Hg,0 mi,PM,1207,1200
20221231,12:22 PM,Heavy rain. Fog,54,9 mph,Wind blowing from 20° North-northeast to South-southwest,100%,29.67 Hg,0 mi,PM,1222,1200
20230110,12:09 PM,Thunderstorms. Partly sunny,55,15 mph,Wind blowing from 200° South-southwest to North-northeast,74%,29.84 Hg,10 mi,PM,1209,1200
20230113,12:00 PM,Rain. Fog,54,12 mph,Wind blowing from 150° South-southeast to North-northwest,90%,30.00 Hg,7 mi,PM,1200,1200
20230113,12:29 PM,Fog,54,15 mph,Wind blowing from 150° South-southeast to North-northwest,93%,29.99 Hg,5 mi,PM,1229,1200
20230114,12:13 PM,Fog,58,16 mph,Wind blowing from 250° West-southwest to East-northeast,78%,29.69 Hg,5 mi,PM,1213,1200
20230128,12:05 PM,Fog,48,N/A,Wind blowing from -128° North to South,93%,30.03 Hg,5 mi,PM,1205,1200
20230129,12:09 PM,More clouds than sun,47,8 mph,Wind blowing from 340° North-northwest to South-southeast,71%,29.84 Hg,10 mi,PM,1209,1200
20230210,12:09 PM,Broken clouds,54,5 mph,Wind blowing from 260° West to East,83%,30.19 Hg,10 mi,PM,1209,1200
20230211,12:27 PM,Mostly cloudy,50,14 mph,Wind blowing from 30° North-northeast to South-southwest,71%,29.97 Hg,10 mi,PM,1227,1200
20230311,12:00 PM,Fog,54,5 mph,Wind blowing from 330° North-northwest to South-southeast,83%,29.98 Hg,4 mi,PM,1200,1200
20230328,12:14 PM,Heavy rain. Fog,50,22 mph,Wind blowing from 190° South to North,83%,29.90 Hg,2 mi,PM,1214,1200
20230329,12:24 PM,Heavy rain. Fog,48,9 mph,Wind blowing from 130° Southeast to Northwest,86%,29.81 Hg,2 mi,PM,1224,1200
20230423,12:16 PM,Broken clouds,59,7 mph,Wind blowing from 190° South to North,78%,29.96 Hg,10 mi,PM,1216,1200
20230504,12:14 PM,Broken clouds,57,5 mph,Wind blowing from 220° Southwest to Northeast,78%,29.91 Hg,10 mi,PM,1214,1200
20230528,12:08 PM,Overcast,58,13 mph,Wind blowing from 240° West-southwest to East-northeast,75%,29.96 Hg,10 mi,PM,1208,1200
20230617,12:04 PM,Scattered clouds,64,12 mph,Wind blowing from 300° West-northwest to East-southeast,73%,30.00 Hg,10 mi,PM,1204,1200
20230917,12:07 PM,Scattered clouds,70,8 mph,Wind blowing from 280° West to East,64%,30.02 Hg,10 mi,PM,1207,1200
20200410,12:03 AM,Mostly cloudy,57,10 mph,Wind blowing from 290° West-northwest to East-southeast,81%,30.11 Hg,10 mi,AM,3,0
20200417,12:21 AM,Overcast,57,12 mph,Wind blowing from 240° West-southwest to East-northeast,74%,29.91 Hg,10 mi,AM,21,0
20200426,12:08 AM,Passing clouds,57,10 mph,Wind blowing from 270° West to East,83%,30.07 Hg,10 mi,AM,8,0
20200427,12:28 AM,Passing clouds,57,13 mph,Wind blowing from 280° West to East,67%,30.11 Hg,10 mi,AM,28,0
20200502,12:14 AM,Passing clouds,59,14 mph,Wind blowing from 240° West-southwest to East-northeast,81%,30.09 Hg,10 mi,AM,14,0
20200509,12:09 AM,Passing clouds,55,10 mph,Wind blowing from 310° Northwest to Southeast,87%,29.91 Hg,10 mi,AM,9,0
20200515,12:17 AM,Light rain. Mostly cloudy,61,9 mph,Wind blowing from 340° North-northwest to South-southeast,83%,30.14 Hg,10 mi,AM,17,0
20200519,12:04 AM,Passing clouds,60,10 mph,Wind blowing from 280° West to East,72%,29.99 Hg,10 mi,AM,4,0
20200520,12:05 AM,Passing clouds,58,20 mph,Wind blowing from 280° West to East,75%,30.09 Hg,10 mi,AM,5,0
20200531,12:28 AM,Passing clouds,60,9 mph,Wind blowing from 300° West-northwest to East-southeast,80%,29.99 Hg,10 mi,AM,28,0
20200601,12:05 AM,Low clouds,60,7 mph,Wind blowing from 270° West to East,78%,29.99 Hg,10 mi,AM,5,0
20200612,12:26 AM,Passing clouds,61,7 mph,Wind blowing from 250° West-southwest to East-northeast,78%,30.00 Hg,10 mi,AM,26,0
20200702,12:01 AM,Passing clouds,56,6 mph,Wind blowing from 30° North-northeast to South-southwest,87%,29.85 Hg,10 mi,AM,1,0
20200709,12:02 AM,Passing clouds,59,3 mph,Wind blowing from 230° Southwest to Northeast,78%,29.91 Hg,10 mi,AM,2,0
20200726,12:27 AM,Passing clouds,61,8 mph,Wind blowing from 340° North-northwest to South-southeast,81%,29.94 Hg,10 mi,AM,27,0
20200801,12:06 AM,Passing clouds,62,9 mph,Wind blowing from 260° West to East,80%,30.02 Hg,10 mi,AM,6,0
20200811,12:10 AM,Passing clouds,63,10 mph,Wind blowing from 290° West-northwest to East-southeast,81%,29.92 Hg,10 mi,AM,10,0
20200826,12:07 AM,Passing clouds,62,6 mph,Wind blowing from 320° Northwest to Southeast,80%,29.86 Hg,10 mi,AM,7,0
20200826,12:20 AM,Partly cloudy,62,7 mph,Wind blowing from 320° Northwest to Southeast,83%,29.86 Hg,8 mi,AM,20,0
20200828,12:08 AM,Passing clouds,59,5 mph,Wind blowing from 10° North to South,84%,29.82 Hg,10 mi,AM,8,0
20200901,12:05 AM,Passing clouds,60,5 mph,Wind blowing from 330° North-northwest to South-southeast,83%,29.87 Hg,10 mi,AM,5,0
20200902,12:12 AM,Partly cloudy,62,10 mph,Wind blowing from 290° West-northwest to East-southeast,80%,30.00 Hg,10 mi,AM,12,0
20200903,12:00 AM,Passing clouds,62,10 mph,Wind blowing from 300° West-northwest to East-southeast,78%,30.06 Hg,10 mi,AM,0,0
20200919,12:22 AM,Passing clouds,66,8 mph,Wind blowing from 270° West to East,81%,30.01 Hg,10 mi,AM,22,0
20200922,12:26 AM,Passing clouds,64,No wind,Wind blowing from 0° North to South,78%,29.97 Hg,10 mi,AM,26,0
20201002,12:17 AM,Passing clouds,68,No wind,Wind blowing from 0° North to South,68%,29.96 Hg,5 mi,AM,17,0
20201009,12:13 AM,Drizzle. Overcast,62,8 mph,Wind blowing from 270° West to East,80%,29.98 Hg,10 mi,AM,13,0
20201231,12:07 AM,Mostly cloudy,54,7 mph,Wind blowing from 50° Northeast to Southwest,83%,30.21 Hg,8 mi,AM,7,0
20210105,12:11 AM,Fog,43,3 mph,Wind blowing from 50° Northeast to Southwest,93%,30.28 Hg,8 mi,AM,11,0
20210128,12:15 AM,Light rain. Fog,53,13 mph,Wind blowing from 140° Southeast to Northwest,80%,29.70 Hg,6 mi,AM,15,0
20210202,12:12 AM,Heavy rain. Fog,57,7 mph,Wind blowing from 160° South-southeast to North-northwest,83%,30.05 Hg,4 mi,AM,12,0
20210202,12:27 AM,Rain. Fog,57,7 mph,Wind blowing from 160° South-southeast to North-northwest,83%,30.05 Hg,3 mi,AM,27,0
20210219,12:24 AM,Mostly cloudy,58,5 mph,Wind blowing from 130° Southeast to Northwest,54%,30.35 Hg,10 mi,AM,24,0
20210517,12:05 AM,Mostly cloudy,54,15 mph,Wind blowing from 260° West to East,80%,30.02 Hg,10 mi,AM,5,0
20210516,12:22 AM,Mostly cloudy,54,10 mph,Wind blowing from 260° West to East,80%,29.90 Hg,10 mi,AM,22,0
20210605,12:25 AM,Passing clouds,54,No wind,Wind blowing from 0° North to South,80%,29.96 Hg,10 mi,AM,25,0
20210613,12:06 AM,Passing clouds,61,12 mph,Wind blowing from 270° West to East,90%,29.94 Hg,10 mi,AM,6,0
20210729,12:13 AM,Passing clouds,59,10 mph,Wind blowing from 320° Northwest to Southeast,90%,30.00 Hg,10 mi,AM,13,0
20210801,12:00 AM,Passing clouds,59,9 mph,Wind blowing from 330° North-northwest to South-southeast,87%,30.05 Hg,10 mi,AM,0,0
20210806,12:13 AM,Mostly cloudy,61,10 mph,Wind blowing from 200° South-southwest to North-northeast,83%,29.99 Hg,10 mi,AM,13,0
20210916,12:05 AM,Passing clouds,60,12 mph,Wind blowing from 250° West-southwest to East-northeast,75%,29.90 Hg,10 mi,AM,5,0
20210927,12:24 AM,Overcast,61,9 mph,Wind blowing from 280° West to East,78%,30.06 Hg,10 mi,AM,24,0
20211018,12:00 AM,Passing clouds,56,14 mph,Wind blowing from 280° West to East,72%,29.97 Hg,10 mi,AM,0,0
20211024,12:24 AM,Light rain. Overcast,60,21 mph,Wind blowing from 150° South-southeast to North-northwest,83%,29.82 Hg,3 mi,AM,24,0
20211026,12:11 AM,Partly cloudy,58,6 mph,Wind blowing from 270° West to East,81%,30.06 Hg,10 mi,AM,11,0
20211109,12:04 AM,Light rain. Overcast,53,20 mph,Wind blowing from 150° South-southeast to North-northwest,80%,29.99 Hg,8 mi,AM,4,0
20211110,12:28 AM,Overcast,59,No wind,Wind blowing from 0° North to South,93%,30.29 Hg,10 mi,AM,28,0
20211208,12:06 AM,Passing clouds,50,3 mph,Wind blowing from 350° North to South,89%,30.05 Hg,10 mi,AM,6,0
20211216,12:13 AM,Rain. Fog,51,3 mph,Wind blowing from 230° Southwest to Northeast,96%,30.03 Hg,2 mi,AM,13,0
20211222,12:06 AM,Light rain. Fog,46,7 mph,Wind blowing from 80° East to West,93%,30.10 Hg,4 mi,AM,6,0
20211222,12:22 AM,Light rain. Fog,46,3 mph,Wind blowing from 80° East to West,96%,30.10 Hg,2 mi,AM,22,0
20211223,12:15 AM,Light rain. Partly cloudy,54,No wind,Wind blowing from 0° North to South,97%,29.84 Hg,9 mi,AM,15,0
20220104,12:12 AM,Light rain. Fog,51,13 mph,Wind blowing from 160° South-southeast to North-northwest,92%,30.28 Hg,3 mi,AM,12,0
20220114,12:10 AM,Fog,45,No wind,Wind blowing from 0° North to South,97%,30.24 Hg,10 mi,AM,10,0
20220127,12:10 AM,Fog,46,No wind,Wind blowing from 0° North to South,86%,30.19 Hg,7 mi,AM,10,0
20220421,12:25 AM,Mostly cloudy,56,16 mph,Wind blowing from 160° South-southeast to North-northwest,97%,29.92 Hg,10 mi,AM,25,0
20220516,12:10 AM,Passing clouds,56,10 mph,Wind blowing from 280° West to East,87%,30.07 Hg,10 mi,AM,10,0
20220529,12:17 AM,Passing clouds,55,10 mph,Wind blowing from 290° West-northwest to East-southeast,87%,29.97 Hg,10 mi,AM,17,0
20220603,12:09 AM,Passing clouds,56,6 mph,Wind blowing from 290° West-northwest to East-southeast,87%,29.91 Hg,10 mi,AM,9,0
20220606,12:19 AM,Passing clouds,61,14 mph,Wind blowing from 280° West to East,87%,30.00 Hg,10 mi,AM,19,0
20220626,12:29 AM,Passing clouds,57,6 mph,Wind blowing from 350° North to South,90%,29.98 Hg,10 mi,AM,29,0
20220710,12:04 AM,Passing clouds,59,8 mph,Wind blowing from 270° West to East,87%,30.14 Hg,10 mi,AM,4,0
20220715,12:07 AM,Passing clouds,59,8 mph,Wind blowing from 280° West to East,81%,29.99 Hg,10 mi,AM,7,0
20220808,12:10 AM,Passing clouds,63,14 mph,Wind blowing from 260° West to East,81%,30.03 Hg,10 mi,AM,10,0
20220810,12:09 AM,Partly cloudy,64,9 mph,Wind blowing from 290° West-northwest to East-southeast,81%,30.04 Hg,10 mi,AM,9,0
20221004,12:01 AM,Passing clouds,60,8 mph,Wind blowing from 290° West-northwest to East-southeast,83%,30.04 Hg,10 mi,AM,1,0
20221031,12:22 AM,Passing clouds,52,3 mph,Wind blowing from 70° East-northeast to West-southwest,89%,30.05 Hg,10 mi,AM,22,0
20221230,12:18 AM,Rain. Fog,54,16 mph,Wind blowing from 150° South-southeast to North-northwest,93%,29.96 Hg,2 mi,AM,18,0
20230105,12:11 AM,Thundershowers. Overcast,56,16 mph,Wind blowing from 160° South-southeast to North-northwest,87%,29.67 Hg,8 mi,AM,11,0
20230224,12:11 AM,Heavy rain. Fog,43,21 mph,Wind blowing from 170° South to North,86%,29.69 Hg,3 mi,AM,11,0
20230310,12:18 AM,Heavy rain. Fog,54,23 mph,Wind blowing from 160° South-southeast to North-northwest,90%,29.70 Hg,2 mi,AM,18,0
20230320,12:09 AM,Mostly cloudy,51,9 mph,Wind blowing from 250° West-southwest to East-northeast,92%,29.93 Hg,8 mi,AM,9,0
20230505,12:24 AM,Partly cloudy,53,7 mph,Wind blowing from 260° West to East,80%,30.00 Hg,10 mi,AM,24,0
20230512,12:19 AM,Passing clouds,54,7 mph,Wind blowing from 290° West-northwest to East-southeast,83%,30.07 Hg,10 mi,AM,19,0
20230715,12:22 AM,Passing clouds,56,17 mph,Wind blowing from 290° West-northwest to East-southeast,93%,29.94 Hg,10 mi,AM,22,0
20200402,11:53 AM,Sunny,62,15 mph,Wind blowing from 290° West-northwest to East-southeast,35%,30.11 Hg,10 mi,AM,1153,1200
20200403,1:53 AM,Passing clouds,47,5 mph,Wind blowing from 40° Northeast to Southwest,77%,30.10 Hg,10 mi,AM,153,200
20200403,2:53 AM,Clear,51,No wind,Wind blowing from 0° North to South,74%,30.09 Hg,10 mi,AM,253,300
20200403,3:53 AM,Passing clouds,45,No wind,Wind blowing from 0° North to South,82%,30.08 Hg,10 mi,AM,353,400
20200403,4:53 AM,Passing clouds,46,No wind,Wind blowing from 0° North to South,79%,30.07 Hg,10 mi,AM,453,500
20200403,5:53 AM,Passing clouds,44,3 mph,Wind blowing from 60° East-northeast to West-southwest,85%,30.06 Hg,10 mi,AM,553,600
20200403,6:53 AM,Passing clouds,44,5 mph,Wind blowing from 20° North-northeast to South-southwest,85%,30.07 Hg,10 mi,AM,653,700
20200403,7:53 AM,Partly sunny,48,No wind,Wind blowing from 0° North to South,83%,30.09 Hg,10 mi,AM,753,800
20200403,8:53 AM,Partly sunny,52,No wind,Wind blowing from 0° North to South,72%,30.10 Hg,10 mi,AM,853,900
20200403,9:53 AM,Partly sunny,55,3 mph,Wind blowing from 230° Southwest to Northeast,57%,30.11 Hg,10 mi,AM,953,1000
20200403,10:53 AM,Passing clouds,56,8 mph,Wind blowing from 260° West to East,49%,30.11 Hg,10 mi,AM,1053,1100
20200403,11:53 AM,Passing clouds,58,7 mph,Wind blowing from 270° West to East,41%,30.10 Hg,10 mi,AM,1153,1200
20200414,7:53 AM,Sunny,53,3 mph,Wind blowing from 50° Northeast to Southwest,89%,30.24 Hg,7 mi,AM,753,800
20200425,11:53 AM,Broken clouds,73,10 mph,Wind blowing from 280° West to East,50%,30.09 Hg,10 mi,AM,1153,1200
20200502,3:53 AM,Low clouds,57,10 mph,Wind blowing from 260° West to East,87%,30.06 Hg,10 mi,AM,353,400
20200502,4:53 AM,Low clouds,58,8 mph,Wind blowing from 280° West to East,81%,30.06 Hg,10 mi,AM,453,500
20200502,5:53 AM,Overcast,58,6 mph,Wind blowing from 250° West-southwest to East-northeast,84%,30.08 Hg,10 mi,AM,553,600
20200502,6:58 AM,Mostly cloudy,59,8 mph,Wind blowing from 260° West to East,84%,30.10 Hg,10 mi,AM,658,700
20200502,7:38 AM,Mostly cloudy,59,6 mph,Wind blowing from 220° Southwest to Northeast,84%,30.11 Hg,10 mi,AM,738,800
20200502,7:53 AM,Mostly cloudy,59,7 mph,Wind blowing from 210° South-southwest to North-northeast,84%,30.11 Hg,10 mi,AM,753,800
20200509,9:53 AM,Partly sunny,62,3 mph,Wind blowing from 280° West to East,70%,29.94 Hg,10 mi,AM,953,1000
20200513,7:53 AM,Mostly cloudy,60,13 mph,Wind blowing from 150° South-southeast to North-northwest,67%,30.07 Hg,10 mi,AM,753,800
20200513,8:53 AM,Overcast,62,14 mph,Wind blowing from 150° South-southeast to North-northwest,62%,30.06 Hg,10 mi,AM,853,900
20200513,9:53 AM,Broken clouds,64,10 mph,Wind blowing from 160° South-southeast to North-northwest,52%,30.06 Hg,10 mi,AM,953,1000
20200513,10:53 AM,Mostly cloudy,64,8 mph,Wind blowing from 180° South to North,52%,30.07 Hg,10 mi,AM,1053,1100
20200513,11:53 AM,Broken clouds,66,6 mph,Wind blowing from 200° South-southwest to North-northeast,59%,30.06 Hg,10 mi,AM,1153,1200
20200519,5:53 AM,Mostly cloudy,59,7 mph,Wind blowing from 300° West-northwest to East-southeast,75%,29.99 Hg,10 mi,AM,553,600
20200519,6:53 AM,Mostly cloudy,59,9 mph,Wind blowing from 310° Northwest to Southeast,75%,30.01 Hg,10 mi,AM,653,700
20200519,7:30 AM,Broken clouds,61,8 mph,Wind blowing from 320° Northwest to Southeast,67%,30.01 Hg,10 mi,AM,730,800
20200519,7:53 AM,Broken clouds,61,5 mph,Wind blowing from 320° Northwest to Southeast,70%,30.01 Hg,10 mi,AM,753,800
20200519,8:53 AM,Broken clouds,63,8 mph,Wind blowing from 290° West-northwest to East-southeast,60%,30.03 Hg,10 mi,AM,853,900
20200519,9:53 AM,Scattered clouds,63,6 mph,Wind blowing from 270° West to East,63%,30.04 Hg,10 mi,AM,953,1000
20200519,10:53 AM,Scattered clouds,65,9 mph,Wind blowing from 250° West-southwest to East-northeast,56%,30.04 Hg,10 mi,AM,1053,1100
20200519,11:53 AM,Passing clouds,68,14 mph,Wind blowing from 260° West to East,53%,30.04 Hg,10 mi,AM,1153,1200
20200524,5:53 AM,Partly sunny,53,3 mph,Wind blowing from 60° East-northeast to West-southwest,80%,29.98 Hg,10 mi,AM,553,600
20200524,6:53 AM,Partly sunny,57,No wind,Wind blowing from 0° North to South,81%,29.99 Hg,10 mi,AM,653,700
20200524,7:53 AM,Partly sunny,63,No wind,Wind blowing from 0° North to South,68%,30.00 Hg,10 mi,AM,753,800
